policy,seed,days_prior,dow,month,weekend,peak_month,price,selling_limit,remain,accepted,cum_revenue,base_demand,is_soft
rl_best,0,100,2,12,0,1,91.88748478889465,10393.463224172592,10000.0,75.85211613697494,6969.8601677417555,78.34826956228913,0
rl_best,0,99,2,12,0,1,89.2421543598175,10843.625664710999,9950.192944234366,88.79318047858526,14893.954886110794,78.34826956228913,0
rl_best,0,98,2,12,0,1,90.79638242721558,10782.660245895386,9893.745278358643,87.5644607530976,22844.491151681956,78.34826956228913,0
rl_best,0,97,2,12,0,1,91.42588138580322,10901.205390691757,9836.787082686742,82.84907555956968,30419.04090671462,80.43164846582134,0
rl_best,0,96,2,12,0,1,92.45134830474854,10930.337458848953,9782.103387458403,85.54938631728507,38328.19701839143,80.43164846582134,0
rl_best,0,95,2,12,0,1,93.33473205566406,10992.640554904938,9724.580848650701,95.56374846691926,47247.61387578622,80.76388620962199,0
rl_best,0,94,2,12,0,1,94.34775114059448,11028.00503373146,9660.862025201293,97.69443595102227,56464.86420671402,80.76388620962199,0
rl_best,0,93,2,12,0,1,95.41604995727539,11114.356219768524,9596.282386275068,88.98707983637082,64955.65986193323,81.2516721329647,0
rl_best,0,92,2,12,0,1,96.53098344802856,11041.71872138977,9535.711534366525,85.83425915010127,73241.32531122545,81.68189079408234,0
rl_best,0,91,2,12,0,1,96.88726902008057,11017.64664053917,9478.910192413421,78.54838097952532,80851.66343028049,81.68189079408234,0
rl_best,0,90,2,12,0,1,96.72832012176514,11034.735888242722,9426.585425520278,87.84173061376691,89348.44646913878,82.82831677780638,0
rl_best,0,89,2,12,0,1,96.74538612365723,11103.718280792236,9368.597590272379,84.38980244850264,97512.77049191833,82.82831677780638,0
rl_best,0,88,2,12,0,1,96.78509473800659,11199.575513601303,9311.927087419044,92.1520405191678,106431.7144638666,82.82831677780638,0
rl_best,0,87,2,12,0,1,96.52553081512451,11314.68802690506,9249.547673223753,90.93165135650574,115208.94037894916,84.56293398444693,0
rl_best,0,86,2,12,0,1,95.49647331237793,11490.328162908554,9188.876173067567,88.3757002740573,123648.5080816334,84.56293398444693,0
rl_best,0,85,2,12,0,1,93.94179821014404,11698.63373041153,9128.301363701781,105.98627101541088,133605.04896640877,84.8282916403851,0
rl_best,0,84,2,12,0,1,92.52649664878845,11849.317848682404,9058.204035727844,107.63909230419071,143564.5170797711,87.66566629607894,0
rl_best,0,83,2,12,0,1,91.03826761245728,11905.145645141602,8983.534336017328,103.34379239273535,152972.75690770717,87.66566629607894,0
rl_best,0,82,2,12,0,1,89.82217073440552,11952.8828561306,8913.05023672239,96.2632458727697,161619.33061393915,87.66566629607894,0
rl_best,0,81,2,12,0,1,89.06625032424927,11955.78008890152,8845.97178576084,115.2551638470406,171884.67588830204,88.02391932314761,0
rl_best,0,80,2,12,0,1,88.54854345321655,11943.476647138596,8765.108172051072,112.21874134006543,181821.4819821181,88.02391932314761,0
rl_best,0,79,2,12,0,1,88.13565611839294,11962.726712226868,8688.13167434366,92.98470873079955,190016.75029508478,89.41124357506565,0
rl_best,0,78,2,12,0,1,87.83745169639587,12038.968205451965,8624.66386563502,109.64859770385324,199648.00369947453,89.85798532780689,0
rl_best,0,77,2,12,0,1,87.2580623626709,12294.219434261322,8551.472936811382,108.19116737387724,209088.55532927447,91.10061121112462,0
rl_best,0,76,2,12,0,1,86.34656548500061,12653.13059091568,8476.85397182102,111.59498775619768,218724.39924736283,91.10061121112462,0
rl_best,0,75,2,12,0,1,85.21193504333496,13244.703710079193,8401.99844062633,101.97341170899631,227413.75098205707,91.10061121112462,0
rl_best,0,74,2,12,0,1,84.24158811569214,13864.721655845642,8332.536989350301,99.5625019072439,235801.05425949494,91.10061121112462,0
rl_best,0,73,2,12,0,1,83.66574883460999,14240.34595489502,8262.077117315861,105.58658964229994,244635.03534881063,91.59938678561403,0
rl_best,0,72,2,12,0,1,83.08191537857056,14382.947981357574,8188.961719524022,110.38992905206263,253806.4420929605,91.59938678561403,0
rl_best,0,71,2,12,0,1,82.81554579734802,14399.099349975586,8110.808422196998,123.32020132614902,264019.27187362436,93.48039800843478,0
rl_best,0,70,2,12,0,1,82.74860501289368,14386.64436340332,8024.717080771809,95.20432619840655,271897.297057735,93.48039800843478,0
rl_best,0,69,2,12,0,1,82.6614499092102,14376.125633716583,7958.814023018558,120.3739946589959,281847.5859876111,93.48039800843478,0
rl_best,0,68,2,12,0,1,82.47207403182983,14405.538737773895,7874.010136932161,110.17739791959454,290934.1445054703,95.11469441166237,0
rl_best,0,67,2,12,0,1,82.40615606307983,14356.656670570374,7795.2579350742435,106.05973864067238,299674.119879903,95.11469441166237,0
rl_best,0,66,2,12,0,1,82.51921892166138,14281.699657440186,7722.434332781252,123.97294011912359,309904.27006595494,96.29318018780998,0
rl_best,0,65,2,12,0,1,82.71052241325378,14181.408882141113,7636.093310531183,132.29062622433588,320846.09687134624,96.29318018780998,0
rl_best,0,64,2,12,0,1,83.01409482955933,14062.787890434265,7543.592750489461,110.85514939303572,330048.63675540464,96.29318018780998,0
rl_best,0,63,2,12,0,1,83.44375252723694,13919.774293899536,7466.721357075077,106.69505590040137,338951.67259583744,96.29318018780998,0
rl_best,0,62,2,12,0,1,83.65737795829773,13777.323961257935,7393.828778317609,120.35888982163281,349020.5817322869,96.29318018780998,0
rl_best,0,61,2,12,0,1,83.63921403884888,13670.10235786438,7308.707236932308,155.69101237935976,362042.45564060926,96.40873891602581,0
rl_best,0,60,2,12,0,1,83.62607717514038,13559.217751026154,7200.948156961903,159.14661940674458,375351.2631172804,121.48371342624034,0
rl_best,0,59,2,12,0,1,83.68842124938965,13457.972407341003,7089.688445791419,158.13796542433806,388585.5797832338,121.717787817549,0
rl_best,0,58,2,12,0,1,83.74892115592957,13385.57779788971,6979.232025791918,139.5704658773967,400274.4557256963,121.717787817549,0
rl_best,0,57,2,12,0,1,83.88910174369812,13368.569016456604,6880.421846134543,153.50120724263286,413151.534117854,121.717787817549,0
rl_best,0,56,2,12,0,1,83.98568868637085,13341.51804447174,6771.728189440433,144.96238986878978,425326.30026460654,121.717787817549,0
rl_best,0,55,2,12,0,1,84.15653467178345,13294.201493263245,6671.621043565387,138.17711470144536,436954.8074088257,125.52438207732914,0
rl_best,0,54,2,12,0,1,84.287588596344,13256.287276744843,6572.881389052921,157.10957513227999,450197.1946421217,125.52438207732914,0
rl_best,0,53,2,12,0,1,84.36635851860046,13201.669752597809,6461.670039393822,140.77674169462816,462074.01570301113,125.52438207732914,0
rl_best,0,52,2,12,0,1,84.38767790794373,13174.976110458374,6360.116182863681,141.2275499400205,473991.8806990776,125.77567823347204,0
rl_best,0,51,2,12,0,1,84.41890835762024,13096.767961978912,6260.744912947254,156.3910352726916,487194.2411737163,127.57061847614774,0
rl_best,0,50,2,12,0,1,84.36149477958679,12985.429465770721,6153.645444733314,154.59541750675677,500236.1416806606,127.57061847614774,0
rl_best,0,49,2,12,0,1,84.28669452667236,12864.454686641693,6044.209321535074,152.49320130150278,513089.28955615475,127.56529444817109,0
rl_best,0,48,2,12,0,1,84.1035783290863,12751.309275627136,5935.11212900833,153.51619014199147,526000.5504785447,127.56529444817109,0
rl_best,0,47,2,12,0,1,83.82850885391235,12658.655941486359,5823.68132095082,150.13315936835662,538585.9893579208,127.56529444817109,0
rl_best,0,46,2,12,0,1,83.50188732147217,12571.941316127777,5713.271954258826,162.52158977845625,552156.848834908,130.8145259896823,0
rl_best,0,45,2,12,0,1,83.20892214775085,12514.985501766205,5594.579888158244,166.99561770823985,566052.3741878085,130.8145259896823,0
rl_best,0,44,2,12,0,1,82.97481179237366,12501.491904258728,5472.493167514622,164.79801412272533,579726.4583933986,131.2339851260106,0
rl_best,0,43,2,12,0,1,82.70898342132568,12467.631697654724,5353.1452567120705,147.04982246808493,591888.7997220203,131.2339851260106,0
rl_best,0,42,2,12,0,1,82.46635556221008,12475.365996360779,5246.806736512913,156.2463740574718,604773.8687603498,131.2339851260106,0
rl_best,0,41,2,12,0,1,82.26820588111877,12505.18411397934,5136.101672172662,164.78914757012797,618330.7762796232,134.1721664575167,0
rl_best,0,40,2,12,0,1,82.08557844161987,12530.10094165802,5017.310356043075,154.77713196927826,631035.7466868563,134.1721664575167,0
rl_best,0,39,2,12,0,1,81.9333004951477,12536.748945713043,4906.415035636821,166.71325349601736,644695.1137820692,134.1721664575167,0
rl_best,0,38,2,12,0,1,81.74494504928589,12545.480132102966,4783.869890299952,175.45126573487553,659037.3678583943,135.24479254111014,0
rl_best,0,37,2,12,0,1,81.55642986297607,12540.812492370605,4655.390133481477,173.67457050252648,673201.6457865661,135.24479254111014,0
rl_best,0,36,2,12,0,1,81.34572267532349,12560.802400112152,4525.148471758142,174.8834781198698,687427.668698201,135.3776796692217,0
rl_best,0,35,2,12,0,1,81.21184229850769,12590.697705745697,4401.7527563936055,175.7291157614984,701698.95393468,135.3776796692217,0
