timesteps,train_month_reward
20000,1019947.0
40000,992794.0
60000,1024601.0
80000,1073138.0
100000,1035001.0
120000,1004582.0
140000,1079625.0
160000,1002922.0
180000,943530.0
200000,1002943.0
