true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,policy
1197752.5282086765,163.47086359079236,0.950267959958801,497.3204004119907,,10000,2022-12-21,12,2,91.99999988079071,12229.962543491274,100,127.57061847614774,0.0,False,True,0,myopic_greedy
855955.3528239769,-78.7900254626289,0.6652252592533883,3347.7474074661177,,10000,2022-06-22,6,2,91.99999988079071,12352.941175922751,100,89.3393639748758,0.0,True,False,1,myopic_greedy
866645.869816607,-53.57585584511661,0.69830076325099,3016.9923674901,,10000,2022-06-01,6,2,91.99999988079071,12352.941175922751,100,89.3393639748758,0.0,True,False,2,myopic_greedy
868754.9398881586,-53.38576283450722,0.6982722509269547,3017.277490730453,,10000,2022-06-08,6,2,91.99999988079071,12352.941175922751,100,89.3393639748758,0.0,True,False,3,myopic_greedy
1151498.2065645475,161.49434089469796,0.9538966030660866,461.0339693391343,,10000,2022-12-11,12,6,91.99999988079071,11645.487640146166,100,192.542564800098,0.0,False,True,4,myopic_greedy
855969.7362579376,-76.67465767449788,0.6681210530132992,3318.789469867009,,10000,2022-06-21,6,1,91.99999988079071,12352.941175922751,100,89.3393639748758,0.0,True,False,5,myopic_greedy
1185434.262544511,171.9950723700179,0.9636323919391326,363.67608060867315,,10000,2022-06-12,6,6,91.99999988079071,11978.209657780826,100,154.00250483209075,0.0,False,True,6,myopic_greedy
1166055.9380975491,166.20956687331898,0.958361606936389,416.38393063610965,,10000,2022-12-11,12,6,91.99999988079071,11672.59572558105,100,192.542564800098,0.0,False,True,7,myopic_greedy
1196542.3096041153,169.14458436777136,0.9582059635717258,417.94036428274194,,10000,2022-12-27,12,1,91.99999988079071,12223.497950751334,100,127.57061847614774,0.0,False,True,8,myopic_greedy
903170.4481490954,-42.180457079706684,0.7089075316512107,2910.924683487893,,10000,2022-06-03,6,4,91.99999988079071,12352.941175922751,100,93.26932573131452,0.0,True,False,9,myopic_greedy
1202849.268207983,168.14967105817442,0.9559791016950357,440.2089830496425,,10000,2022-12-15,12,3,91.99999988079071,12269.701150804758,100,127.68291019733265,0.0,False,True,10,myopic_greedy
862160.7923063261,-66.96486100354683,0.6805740544737268,3194.2594552627324,,10000,2022-06-27,6,0,91.99999988079071,12352.941175922751,100,89.3393639748758,0.0,True,False,11,myopic_greedy
1219700.1072347253,170.65003796688873,0.9570959277307071,429.0407226929292,,10000,2022-12-22,12,3,91.99999988079071,12280.402760952711,100,127.68291019733265,0.0,False,True,12,myopic_greedy
1179719.373658609,168.99265125772584,0.9603023477970754,396.97652202924655,,10000,2022-12-10,12,5,91.99999988079071,11655.558205861598,100,195.43755580295394,0.0,False,True,13,myopic_greedy
862250.6081372485,-65.39822400918591,0.6827078290097113,3172.9217099028874,,10000,2022-06-20,6,0,91.99999988079071,12352.941175922751,100,89.3393639748758,0.0,True,False,14,myopic_greedy
1223467.1559513935,173.2377759078115,0.9601247401543455,398.75259845654546,,10000,2022-12-06,12,1,91.99999988079071,12279.455775395036,100,127.57061847614774,0.0,False,True,15,myopic_greedy
864612.3323067874,-74.17189847773679,0.6703655730021706,3296.3442699782945,,10000,2022-06-07,6,1,91.99999988079071,12352.941175922751,100,89.3393639748758,0.0,True,False,16,myopic_greedy
902829.3181702349,-34.38641373645699,0.719631033488383,2803.6896651161705,,10000,2022-06-17,6,4,91.99999988079071,12352.941175922751,100,93.26932573131452,0.0,True,False,17,myopic_greedy
