true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,policy
1197752.5282086765,163.47086359079236,0.950267959958801,497.3204004119907,,10000,2022-12-21,12,2,91.99999988079071,14363.224313035607,100,127.57061847614774,0.0,False,True,0,myopic_greedy
855955.3528239769,-78.7900254626289,0.6652252592533883,3347.7474074661177,,10000,2022-06-22,6,2,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,1,myopic_greedy
866645.869816607,-53.57585584511661,0.69830076325099,3016.9923674901,,10000,2022-06-01,6,2,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,2,myopic_greedy
868754.9398881586,-53.38576283450722,0.6982722509269547,3017.277490730453,,10000,2022-06-08,6,2,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,3,myopic_greedy
1151498.2065645475,161.49434089469796,0.9538966030660866,461.0339693391343,,10000,2022-12-11,12,6,91.99999988079071,12786.012645810843,100,192.542564800098,0.0,False,True,4,myopic_greedy
855969.7362579376,-76.67465767449788,0.6681210530132992,3318.789469867009,,10000,2022-06-21,6,1,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,5,myopic_greedy
1185434.262544511,171.9950723700179,0.9636323919391326,363.67608060867315,,10000,2022-06-12,6,6,91.99999988079071,13328.456412628293,100,154.00250483209075,0.0,False,True,6,myopic_greedy
1166055.9380975491,166.20956687331898,0.958361606936389,416.38393063610965,,10000,2022-12-11,12,6,91.99999988079071,12817.33335107565,100,192.542564800098,0.0,False,True,7,myopic_greedy
1196542.3096041153,169.14458436777136,0.9582059635717258,417.94036428274194,,10000,2022-12-27,12,1,91.99999988079071,14363.224313035607,100,127.57061847614774,0.0,False,True,8,myopic_greedy
903170.4481490954,-42.180457079706684,0.7089075316512107,2910.924683487893,,10000,2022-06-03,6,4,91.99999988079071,14515.837990515865,100,93.26932573131452,0.0,True,False,9,myopic_greedy
1202849.268207983,168.14967105817442,0.9559791016950357,440.2089830496425,,10000,2022-12-15,12,3,91.99999988079071,14412.641564803198,100,127.68291019733265,0.0,False,True,10,myopic_greedy
862160.7923063261,-66.96486100354683,0.6805740544737268,3194.2594552627324,,10000,2022-06-27,6,0,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,11,myopic_greedy
1219700.1072347253,170.65003796688873,0.9570959277307071,429.0407226929292,,10000,2022-12-22,12,3,91.99999988079071,14412.641564803198,100,127.68291019733265,0.0,False,True,12,myopic_greedy
1179719.373658609,168.99265125772584,0.9603023477970754,396.97652202924655,,10000,2022-12-10,12,5,91.99999988079071,12786.012645810843,100,195.43755580295394,0.0,False,True,13,myopic_greedy
862250.6081372485,-65.39822400918591,0.6827078290097113,3172.9217099028874,,10000,2022-06-20,6,0,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,14,myopic_greedy
1223467.1559513935,173.2377759078115,0.9601247401543455,398.75259845654546,,10000,2022-12-06,12,1,91.99999988079071,14412.641564803198,100,127.57061847614774,0.0,False,True,15,myopic_greedy
864612.3323067874,-74.17189847773679,0.6703655730021706,3296.3442699782945,,10000,2022-06-07,6,1,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,16,myopic_greedy
902829.3181702349,-34.38641373645699,0.719631033488383,2803.6896651161705,,10000,2022-06-17,6,4,91.99999988079071,14515.837990515865,100,93.26932573131452,0.0,True,False,17,myopic_greedy
1173706.8708443223,166.3136557321888,0.957456121435283,425.4387856471694,,10000,2022-12-17,12,5,91.99999988079071,12786.012645810843,100,195.43755580295394,0.0,False,True,18,myopic_greedy
906835.0842180155,-44.70363972995243,0.704949112120885,2950.508878791151,,10000,2022-06-03,6,4,91.99999988079071,14515.837990515865,100,93.26932573131452,0.0,True,False,19,myopic_greedy
1170164.2911453692,162.10207530242542,0.9521721180656006,478.27881934399375,,10000,2022-06-18,6,5,91.99999988079071,13299.80626218021,100,156.11217061502776,0.0,False,True,20,myopic_greedy
855016.7727276942,-84.43438471239341,0.6576218328970372,3423.7816710296274,,10000,2022-06-20,6,0,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,21,myopic_greedy
1157660.1423091132,169.16402579964927,0.9635589199571752,364.41080042824797,,10000,2022-12-11,12,6,91.99999988079071,12786.012645810843,100,192.542564800098,0.0,False,True,22,myopic_greedy
1160652.5187902064,166.71280544054332,0.9597911692623599,402.08830737640164,,10000,2022-06-04,6,5,91.99999988079071,13270.790203288198,100,156.11217061502776,0.0,False,True,23,myopic_greedy
844358.3539603773,-75.49224384603023,0.6713313982985369,3286.68601701463,,10000,2022-06-16,6,3,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,24,myopic_greedy
1202305.3464832902,168.88558330513837,0.9570617104887799,429.38289511220137,,10000,2022-12-28,12,2,91.99999988079071,14388.88557641767,100,127.57061847614774,0.0,False,True,25,myopic_greedy
870352.6905061344,-48.0667905682939,0.705339644357661,2946.603556423389,,10000,2022-06-29,6,2,91.99999988079071,14515.837990515865,100,89.3393639748758,0.0,True,False,26,myopic_greedy
1150411.8021912265,165.05066380032554,0.9589171007961684,410.82899203831585,,10000,2022-12-24,12,5,91.99999988079071,12754.416620731354,100,195.43755580295394,0.0,False,True,27,myopic_greedy
1221628.996737536,174.0659656550536,0.9615110492894521,384.8895071054794,,10000,2022-12-14,12,2,91.99999988079071,14412.641564803198,100,127.57061847614774,0.0,False,True,28,myopic_greedy
1206192.6733309801,165.98972302258426,0.9525622680677894,474.3773193221059,,10000,2022-12-08,12,3,91.99999988079071,14388.88557641767,100,127.68291019733265,0.0,False,True,29,myopic_greedy
1066084.5354949085,158.88451927046992,0.9620220078369577,379.7799216304229,,10000,2022-12-21,12,2,80.0,14153.624653071165,100,127.57061847614774,1.0,False,True,0,fixed_price_80
842599.7101215505,-16.01423243028809,0.7530490363802149,2469.5096361978513,,10000,2022-06-22,6,2,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,1,fixed_price_80
851895.8118663175,11.455193520751337,0.7894049484029034,2105.950515970965,,10000,2022-06-01,6,2,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,2,fixed_price_80
