true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,policy
1157374.7574207697,110.76742948105992,1.0110445472467045,-110.44547246704497,5.0,10000,2022-12-21,12,2,84.73720618486405,12968.30476373434,100,127.57061847614774,0.0,False,True,0,bc_sac_raw
844844.4095944471,-21.025691465395198,0.7458765309248768,2541.234690751232,,10000,2022-06-22,6,2,81.15789881944656,12564.962036907673,100,89.3393639748758,0.44,True,False,1,bc_sac_raw
854386.4657808805,6.06164289569783,0.7816753374213832,2183.246625786168,,10000,2022-06-01,6,2,81.19598355293274,12566.102682054043,100,89.3393639748758,0.39,True,False,2,bc_sac_raw
856115.9960119054,6.0871080649761495,0.7814732992654598,2185.267007345402,,10000,2022-06-08,6,2,81.1827628850937,12583.638989925385,100,89.3393639748758,0.41,True,False,3,bc_sac_raw
1447085.0540458395,142.90527989625986,1.0040071677962759,-40.07167796275826,13.0,10000,2022-12-11,12,6,111.73808797597886,13021.601919829845,100,192.542564800098,0.0,False,True,4,bc_sac_raw
844810.7892307098,-18.71640086491223,0.7490445482356395,2509.5545176436053,,10000,2022-06-21,6,1,81.27965186834335,13138.810276985168,100,89.3393639748758,0.5,True,False,5,bc_sac_raw
1388275.1280783631,171.5563214703416,0.9352449433732949,647.5505662670512,,10000,2022-06-12,6,6,113.97038276195526,13824.262923002243,100,154.00250483209075,0.0,False,True,6,bc_sac_raw
1457633.8119444752,143.792323940268,1.00438012723151,-43.801272315100505,12.0,10000,2022-12-11,12,6,111.8131016254425,13096.976412832737,100,192.542564800098,0.0,False,True,7,bc_sac_raw
1150537.5250171165,96.73933778412663,1.040698699372411,-406.986993724111,7.0,10000,2022-12-27,12,1,81.99068162441253,13084.123969078064,100,127.57061847614774,0.54,False,True,8,bc_sac_raw
892614.2498804055,17.58389644789399,0.7922225636436349,2077.7743635636516,,10000,2022-06-03,6,4,81.6628710269928,12451.651334762573,100,93.26932573131452,0.3,True,False,9,bc_sac_raw
1164535.2585440776,107.60113595940662,1.019671977544447,-196.71977544446963,4.0,10000,2022-12-15,12,3,84.0601660847664,12842.254535853863,100,127.68291019733265,0.39,False,True,10,bc_sac_raw
852485.8526876263,-13.637596022663061,0.754950436587088,2450.49563412912,,10000,2022-06-27,6,0,82.49387910366059,12038.346715271473,100,89.3393639748758,0.26,True,False,11,bc_sac_raw
1174006.755943605,110.75050310065478,1.0147781610971238,-147.78161097123848,4.0,10000,2022-12-22,12,3,84.15109975337982,12834.913338720798,100,127.68291019733265,0.39,False,True,12,bc_sac_raw
1501583.7659051307,225.5680680927673,0.9937119061674715,62.88093832528466,,10000,2022-12-10,12,5,115.89881927967072,12098.579575121403,100,195.43755580295394,0.0,False,True,13,bc_sac_raw
852520.524652869,-11.931174193178762,0.7572832511527868,2427.1674884721315,,10000,2022-06-20,6,0,82.48911517858505,12034.880581498146,100,89.3393639748758,0.26,True,False,14,bc_sac_raw
1166499.752909788,101.92737427914327,1.0327168911374123,-327.1689113741231,6.0,10000,2022-12-06,12,1,81.79836653470993,13129.859288036823,100,127.57061847614774,0.57,False,True,15,bc_sac_raw
852523.769866984,-16.78288205873963,0.7506366314446055,2493.6336855539457,,10000,2022-06-07,6,1,81.28648573160172,13130.436646938324,100,89.3393639748758,0.5,True,False,16,bc_sac_raw
892308.508932367,26.230791609072327,0.8041095078299118,1958.9049217008824,,10000,2022-06-17,6,4,81.6759972333908,12445.20016014576,100,93.26932573131452,0.3,True,False,17,bc_sac_raw
1502145.5878698353,228.99476517608952,0.9983290498480905,16.709501519095284,,10000,2022-12-17,12,5,115.90846571922302,12155.172969400883,100,195.43755580295394,0.0,False,True,18,bc_sac_raw
895989.0803720169,14.362871921940979,0.7873478957325195,2126.5210426748044,,10000,2022-06-03,6,4,81.68626432418823,12444.915573298931,100,93.26932573131452,0.3,True,False,19,bc_sac_raw
1362150.4012065593,137.15194712437787,0.8916943931557835,1083.0560684421653,,10000,2022-06-18,6,5,117.02461702823639,13246.684755384922,100,156.11217061502776,0.0,False,True,20,bc_sac_raw
845809.787538437,-32.17824396479959,0.7304668181936393,2695.331818063607,,10000,2022-06-20,6,0,82.4341193675995,12011.583341658115,100,89.3393639748758,0.27,True,False,21,bc_sac_raw
1454246.7743349238,138.98175972694932,1.014317594903429,-143.17594903429017,13.0,10000,2022-12-11,12,6,111.55766460895538,12861.5354180336,100,192.542564800098,0.0,False,True,22,bc_sac_raw
1370687.3433190072,152.40729313529482,0.9114226832923207,885.7731670767935,,10000,2022-06-04,6,5,117.18576211929322,13075.780373811722,100,156.11217061502776,0.0,False,True,23,bc_sac_raw
835067.0799780203,-17.737004889297026,0.7517209412505492,2482.7905874945072,,10000,2022-06-16,6,3,81.69015910625458,12556.700472533703,100,89.3393639748758,0.39,True,False,24,bc_sac_raw
1149187.0256676138,111.75615844361316,1.0070278758292184,-70.27875829218465,5.0,10000,2022-12-28,12,2,84.56624248027802,13001.127229630947,100,127.57061847614774,0.0,False,True,25,bc_sac_raw
857730.0927107836,11.85705914178672,0.7891562326996006,2108.437673003995,,10000,2022-06-29,6,2,81.20881463289261,12574.705323576927,100,89.3393639748758,0.39,True,False,26,bc_sac_raw
1477090.241225367,146.7609459048466,1.0021068404837556,-21.068404837556955,0.0,10000,2022-12-24,12,5,115.92537505626679,12058.505411446095,100,195.43755580295394,0.0,False,True,27,bc_sac_raw
1168493.2068702416,111.64010320100496,1.0115760388578205,-115.7603885782064,4.0,10000,2022-12-14,12,2,84.47093694210052,12989.733946323395,100,127.57061847614774,0.0,False,True,28,bc_sac_raw
