true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,policy
1066084.5354949085,213.8047376202206,0.9620220078369577,379.7799216304229,,10000,2022-12-21,12,2,80.0,14153.624653071165,100,127.57061847614774,1.0,False,True,0,pace_s42
842599.7101215505,-232.1280357078601,0.7530490363802149,2469.5096361978513,,10000,2022-06-22,6,2,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,1,pace_s42
851895.8118663175,-147.9757990138519,0.7894049484029034,2105.950515970965,,10000,2022-06-01,6,2,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,2,pace_s42
853729.7858439562,-151.7011081623948,0.789078282849464,2109.21717150536,,10000,2022-06-08,6,2,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,3,pace_s42
1420588.305697588,188.43107522140326,0.9637386442754973,362.61355724502755,,10000,2022-12-11,12,6,114.24893413186074,13223.876787535846,100,192.542564800098,0.0,False,True,4,pace_s42
842612.2174554451,-225.3171465964362,0.7563588487909126,2436.4115120908737,,10000,2022-06-21,6,1,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,5,pace_s42
1386627.3599222878,157.8046352123465,0.9286989182188424,713.0108178115752,,10000,2022-06-12,6,6,113.1807859301567,13697.830777138006,100,154.00250483209075,0.0,False,True,6,pace_s42
1429046.7190841613,187.757216483265,0.9628126891382235,371.87310861776496,,10000,2022-12-11,12,6,114.14960210323333,13250.338986795396,100,192.542564800098,0.0,False,True,7,pace_s42
1062118.8547016433,218.1988415561881,0.9661956409144632,338.04359085536817,,10000,2022-12-27,12,1,80.0134237408638,14153.624653071165,100,127.57061847614774,1.0,False,True,8,pace_s42
889544.4023679541,-91.4741687362199,0.8029406490320949,1970.5935096790508,,10000,2022-06-03,6,4,80.0,14515.837990515865,100,93.26932573131452,1.0,True,False,9,pace_s42
1064465.2014104982,207.43934553149631,0.9595955060144672,404.04493985532827,,10000,2022-12-15,12,3,80.0,14186.001101881266,100,127.68291019733265,1.0,False,True,10,pace_s42
847995.7444610199,-191.44823292365112,0.7698655286206253,2301.3447137937474,,10000,2022-06-27,6,0,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,11,pace_s42
1077044.8622242592,207.22466874122225,0.9582743393528713,417.25660647128643,,10000,2022-12-22,12,3,80.0,14186.001101881266,100,127.68291019733265,1.0,False,True,12,pace_s42
1388165.7209027074,187.63752397101246,0.9599702468944009,400.2975310559905,,10000,2022-12-10,12,5,110.11414833068848,13114.291641488671,100,195.43755580295394,0.0,False,True,13,pace_s42
848073.8451836626,-187.02142624803682,0.772240174002143,2277.5982599785702,,10000,2022-06-20,6,0,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,14,pace_s42
1081788.6544790629,214.59411884022433,0.9628539961951996,371.4600380480042,,10000,2022-12-06,12,1,80.00951037406921,14186.001101881266,100,127.57061847614774,1.0,False,True,15,pace_s42
850127.518377227,-218.96688284855284,0.7579740166669778,2420.259833330221,,10000,2022-06-07,6,1,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,16,pace_s42
889247.7676033432,-70.76985527747667,0.8151255745499993,1848.7442545000067,,10000,2022-06-17,6,4,80.0,14515.837990515865,100,93.26932573131452,1.0,True,False,17,pace_s42
1381894.8029140776,185.94908627023153,0.9589142809555078,410.8571904449218,,10000,2022-12-17,12,5,110.06244079470635,13114.291641488671,100,195.43755580295394,0.0,False,True,18,pace_s42
892731.0424320145,-97.76005855055135,0.798089556450677,2019.10443549323,,10000,2022-06-03,6,4,80.0,14515.837990515865,100,93.26932573131452,1.0,True,False,19,pace_s42
1362791.067954729,193.8758052010055,0.9530359503920844,469.6404960791551,,10000,2022-06-18,6,5,108.22349092960357,13614.803612127434,100,156.11217061502776,0.0,False,True,20,pace_s42
841783.5535150297,-250.20893845760057,0.7445448345336063,2554.5516546639365,,10000,2022-06-20,6,0,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,21,pace_s42
1402478.9961314998,182.11301585109263,0.9545746035317415,454.2539646825844,,10000,2022-12-11,12,6,114.4161435008049,13197.029123827815,100,192.542564800098,0.0,False,True,22,pace_s42
1354762.0114323087,206.17817266030153,0.962057637126859,379.42362873141064,,10000,2022-06-04,6,5,108.44369955658912,13591.430212452542,100,156.11217061502776,0.0,False,True,23,pace_s42
832525.8388921276,-217.2637070491966,0.7611844707362948,2388.1552926370523,,10000,2022-06-16,6,3,80.0,14515.837990515865,100,89.3393639748758,1.0,True,False,24,pace_s42
