comparison,policy,baseline,point_diff,paired_diff,paired_ci_low,paired_ci_high,tie,n_draws,n_seeds
matched,bc_cap_s42,pace_s42,71486.00809473079,71579.68429785097,31173.3781328305,105772.54906026478,False,10000,30
matched,bc_cap_s43,pace_s43,107077.36365687451,107232.52035986504,83562.07184341198,128332.98982238691,False,10000,30
matched,bc_cap_s44,pace_s44,224765.69346935116,224840.3342963027,168938.55873377624,283371.5843816461,False,10000,30
matched,bc_cap_s46,pace_s46,7996.135334013961,7883.296157244847,-7865.792432486778,25163.627218232952,True,10000,30
published_pace,bc_cap_s43,pace_s42,48540.446624893,48716.842032962915,8228.900353422168,86598.32911385474,False,10000,30
published_pace,bc_cap_s44,pace_s42,93366.38255174784,93446.51034689622,68506.5520127885,114310.85554245066,False,10000,30
published_pace,bc_cap_s46,pace_s42,-50294.08502888167,-50257.65921608263,-78825.00183986437,-24113.350769876284,False,10000,30
