comparison,policy,baseline,point_diff,ci_low,ci_high,covers_zero
uncapped,cu200,rl_best,54486.49409955647,26376.838675834635,80565.77706060368,False
capped,cu200,rl_best,86850.82209066115,47134.53458255848,128011.81308651995,False
