policy,seed,days_prior,dow,month,weekend,peak_month,price,selling_limit,remain,accepted,cum_revenue,base_demand,is_soft
clamp_frozen,0,100,2,12,0,1,91.88748478889465,10393.463224172592,10000.0,75.85211613697494,6969.8601677417555,78.34826956228913,0
clamp_frozen,0,99,2,12,0,1,91.88748478889465,10843.625664710999,9950.192944234366,86.30609574012131,14900.310227251037,78.34826956228913,0
clamp_frozen,0,98,2,12,0,1,91.88748478889465,10803.690254688263,9895.326369694314,86.51135081396001,22849.620659235516,78.34826956228913,0
clamp_frozen,0,97,2,12,0,1,91.88748478889465,10896.61493897438,9839.053192138914,82.40354528779277,30421.475173418563,80.43164846582134,0
clamp_frozen,0,96,2,12,0,1,92.31807231903076,10930.019915103912,9784.663564664888,85.6785529558249,38331.15402138431,80.43164846582134,0
clamp_frozen,0,95,2,12,0,1,93.33111524581909,10987.699627876282,9727.054175520814,95.56725375834439,47250.55239563079,80.76388620962199,0
clamp_frozen,0,94,2,12,0,1,94.31168794631958,11024.56584572792,9663.333014856209,97.72959828906978,56467.595772588706,80.76388620962199,0
clamp_frozen,0,93,2,12,0,1,95.39372205734253,11113.429814577103,9598.730132322782,89.00896525737855,64958.49226496273,81.2516721329647,0
clamp_frozen,0,92,2,12,0,1,96.51087522506714,11040.802597999573,9538.14438366072,85.85396888216526,73244.33394332619,81.68189079408234,0
clamp_frozen,0,91,2,12,0,1,96.88335418701172,11015.448421239853,9481.329998672796,78.55227208792803,80854.74154221543,81.68189079408234,0
clamp_frozen,0,90,2,12,0,1,96.88335418701172,11031.751930713654,9429.002639729535,87.68763608575577,89350.2138469335,82.82831677780638,0
clamp_frozen,0,89,2,12,0,1,96.88335418701172,11094.477623701096,9371.116528434937,84.25267049902168,97512.89516409181,82.82831677780638,0
clamp_frozen,0,88,2,12,0,1,96.88335418701172,11190.755367279053,9314.538114155208,92.05233123157296,106431.23377454041,82.82831677780638,0
clamp_frozen,0,87,2,12,0,1,96.88335418701172,11308.102309703827,9252.226195013907,90.56854822640587,115205.81851056273,84.56293398444693,0
clamp_frozen,0,86,2,12,0,1,96.88335418701172,11481.497585773468,9191.796964862564,86.96393945041041,123631.17665783469,84.56293398444693,0
clamp_frozen,0,85,2,12,0,1,96.88335418701172,11677.666455507278,9132.189809982086,102.89178943949905,133599.6783370371,84.8282916403851,0
clamp_frozen,0,84,2,12,0,1,96.88335418701172,11772.554963827133,9064.139113971496,103.05573047564546,143584.06317371028,87.66566629607894,0
clamp_frozen,0,83,2,12,0,1,96.88335418701172,11823.690533638,8992.648912007346,97.19483148333639,153000.62445745728,87.66566629607894,0
clamp_frozen,0,82,2,12,0,1,96.88335418701172,11785.484254360199,8926.358620209348,88.80460936207186,161604.3128797221,87.66566629607894,0
