policy,seed,revenue,remain,mean_price,mean_sl,weekend,peak_month,is_soft,month,load
clamp_frozen,0,1231760.7117754582,748.6478115392238,96.55800642967225,12730.386112630367,0,1,0,12,0.9251352188460776
clamp_frozen,1,850564.3139472203,3926.0007800654193,98.71341705322266,13133.22430998087,0,0,1,6,0.607399921993458
clamp_frozen,2,862034.9385534746,3610.35542060055,98.71341705322266,13094.08163279295,0,0,1,6,0.6389644579399449
clamp_frozen,3,864297.9115299669,3607.3520916028074,98.71341705322266,13104.651261866093,0,0,1,6,0.6392647908397193
clamp_frozen,4,1481749.9496109802,149.37064393979563,115.17346909046174,12923.974485695362,1,1,0,12,0.9850629356060204
clamp_frozen,5,852185.6475507116,2911.7262126380265,85.33731673955917,13277.143228054047,0,0,1,6,0.7088273787361974
clamp_frozen,6,1388601.0340571129,618.2716981156627,110.10803258419037,13443.61963570118,1,0,0,6,0.9381728301884338
clamp_frozen,7,1483128.6787017789,163.92734611855667,115.08540489673615,12958.02676975727,1,1,0,12,0.9836072653881444
clamp_frozen,8,1142192.2770396993,547.0659341917599,88.51136444807052,11975.115795433521,0,1,0,12,0.9452934065808241
clamp_frozen,9,903119.0449536918,3010.8399932810253,92.2632086277008,13040.385137498379,0,0,1,6,0.6989160006718975
clamp_frozen,10,1145607.1062350818,885.4893223997242,90.83253979682922,12796.948918700218,0,1,0,12,0.9114510677600276
clamp_frozen,11,861286.7162035974,3048.5951418141813,88.85475060939788,12203.298263251781,0,0,1,6,0.6951404858185819
clamp_frozen,12,1150977.9224627544,952.4598533263324,90.83253979682922,12772.969675064087,0,1,0,12,0.9047540146673667
clamp_frozen,13,1552098.9536006632,-243.4429011229422,116.2159013748169,12382.731793820858,1,1,0,12,1.0243442901122943
clamp_frozen,14,861333.3534614174,3027.699679880595,88.8742765545845,12211.747002601624,0,0,1,6,0.6972300320119404
clamp_frozen,15,1158416.3706959134,622.7130856749227,88.53366812467576,12037.311135232449,0,1,0,12,0.9377286914325077
clamp_frozen,16,860197.9692856554,2912.175816306205,85.33285822868348,13262.425988912582,0,0,1,6,0.7087824183693795
clamp_frozen,17,902776.9390140228,2908.409089644124,92.2632086277008,13045.500749349594,0,0,1,6,0.7091590910355876
clamp_frozen,18,1549554.4208705665,-264.7911695249113,116.2159013748169,12432.455475628376,1,1,0,12,1.0264791169524912
clamp_frozen,19,906794.1654168392,3056.8357887159245,92.2632086277008,13047.526229918003,0,0,1,6,0.6943164211284075
clamp_frozen,20,1367104.2639517426,1142.9065364627058,115.82474522590637,13802.909916639328,1,0,0,6,0.8857093463537294
clamp_frozen,21,854394.6702838918,3273.299017120873,88.84492213726044,12255.506359040737,0,0,1,6,0.6726700982879127
clamp_frozen,22,1469281.9824544839,80.87090417509171,115.3144047498703,12890.3655230999,1,1,0,12,0.9919129095824908
clamp_frozen,23,1377001.4072425442,917.7685420430225,115.81945116519928,13711.70474588871,1,0,0,6,0.9082231457956977
clamp_frozen,24,842628.8594474929,2962.261280185012,86.52493640184403,13640.669974684715,0,0,1,6,0.7037738719814988
clamp_frozen,25,1222950.5134705035,808.6781321975195,96.59005242586136,12768.016989529133,0,1,0,12,0.919132186780248
clamp_frozen,26,866012.2530876162,3531.807210759306,98.71341705322266,13078.20857167244,0,0,1,6,0.6468192789240694
clamp_frozen,27,1538063.5966394478,-289.02892194442575,116.2159013748169,12357.442863285542,1,1,0,12,1.0289028921944425
clamp_frozen,28,1229481.3577783222,874.1012193249517,96.53411412239075,12765.538522601128,0,1,0,12,0.9125898780675048
clamp_frozen,29,1148814.4075092152,910.5684457083335,90.83253979682922,12713.671346008778,0,1,0,12,0.9089431554291667
myopic,0,1197752.5282086765,497.3204004119907,91.99999988079071,12282.352940645069,0,1,0,12,0.950267959958801
myopic,1,855955.3528239769,3440.5537602491995,91.99999988079071,12352.941175922751,0,0,1,6,0.65594462397508
myopic,2,866645.869816607,3106.776362580392,91.99999988079071,12352.941175922751,0,0,1,6,0.6893223637419608
myopic,3,868754.9398881586,3105.4126069827234,91.99999988079071,12352.941175922751,0,0,1,6,0.6894587393017276
myopic,4,1151498.2065645475,461.0339693391343,91.99999988079071,11670.588234905154,1,1,0,12,0.9538966030660866
myopic,5,855969.7362579376,3395.143651831845,91.99999988079071,12352.941175922751,0,0,1,6,0.6604856348168155
myopic,6,1185434.262544511,363.67608060867315,91.99999988079071,11999.999999534339,1,0,0,6,0.9636323919391326
myopic,7,1166055.9380975491,416.38393063610965,91.99999988079071,11694.117646664381,1,1,0,12,0.958361606936389
myopic,8,1196542.3096041153,417.94036428274194,91.99999988079071,12282.352940645069,0,1,0,12,0.9582059635717258
myopic,9,903170.4481490954,2990.4630995801735,91.99999988079071,12352.941175922751,0,0,1,6,0.7009536900419826
myopic,10,1202849.268207983,440.2089830496425,91.99999988079071,12329.411764163524,0,1,0,12,0.9559791016950357
myopic,11,862160.7923063261,3278.8640635312986,91.99999988079071,12352.941175922751,0,0,1,6,0.6721135936468701
myopic,12,1219700.1072347253,429.0407226929292,91.99999988079071,12329.411764163524,0,1,0,12,0.9570959277307071
myopic,13,1179719.373658609,396.97652202924655,91.99999988079071,11670.588234905154,1,1,0,12,0.9603023477970754
myopic,14,862250.6081372485,3257.1224490289524,91.99999988079071,12352.941175922751,0,0,1,6,0.6742877550971047
myopic,15,1223467.1559513935,398.75259845654546,91.99999988079071,12329.411764163524,0,1,0,12,0.9601247401543455
myopic,16,864612.3323067874,3392.5852202186743,91.99999988079071,12352.941175922751,0,0,1,6,0.6607414779781327
myopic,17,902829.3181702349,2887.7159007311484,91.99999988079071,12352.941175922751,0,0,1,6,0.7112284099268852
myopic,18,1173706.8708443223,425.4387856471694,91.99999988079071,11670.588234905154,1,1,0,12,0.957456121435283
myopic,19,906835.0842180155,3036.6525681917747,91.99999988079071,12352.941175922751,0,0,1,6,0.6963347431808226
myopic,20,1170164.2911453692,478.27881934399375,91.99999988079071,11976.470587775111,1,0,0,6,0.9521721180656006
myopic,21,855016.7727276942,3498.1469939311046,91.99999988079071,12352.941175922751,0,0,1,6,0.6501853006068896
myopic,22,1157660.1423091132,364.41080042824797,91.99999988079071,11670.588234905154,1,1,0,12,0.9635589199571752
