policy,true,true_peak_denied_nights,elasticity_-0.9,elasticity_-0.9_peak_denied_nights,elasticity_-1.5,elasticity_-1.5_peak_denied_nights,level_stale,level_stale_peak_denied_nights
DP planner,2219271.73,8,2189336.71,7,2211997.9,8,2164333.89,7
myopic,1972305.33,0,1903795.52,0,1857431.73,0,1972305.33,0
