policy,seed,dow,month,days_prior,price,selling_limit,accepted,show_ups,revenue
Planner,4,6,12,99,120.0,15000.0,103.91559703349813,75.66499209580246,12469.871644019775
Planner,4,6,12,98,120.0,15000.0,77.47462674569138,131.6509254977766,21766.82685350274
Planner,4,6,12,97,120.0,15000.0,86.58348342330254,194.41815092360832,32156.84486429904
Planner,4,6,12,96,120.0,15000.0,78.70569107771857,251.60927691801578,41601.52779362527
Planner,4,6,12,95,120.0,15000.0,94.2595905792154,321.3399430238499,52912.67866313111
Planner,4,6,12,94,120.0,15000.0,94.90970336109098,390.7043597294169,64301.843066462025
Planner,4,6,12,93,120.0,15000.0,80.80232705134236,451.09218192966114,73998.1223126231
Planner,4,6,12,92,120.0,15000.0,78.18004400809576,508.7881339902308,83379.7275935946
Planner,4,6,12,91,120.0,15000.0,90.86597588077137,574.2014818242087,94283.64469928716
Planner,4,6,12,90,120.0,15000.0,89.34931197511872,638.7858234189866,105005.5621363014
Planner,4,6,12,89,120.0,15000.0,97.6411048005429,709.9847064008302,116722.49471236655
Planner,4,6,12,88,120.0,15000.0,106.66333998729529,786.0122327333793,129522.09551084199
Planner,4,6,12,87,120.0,15000.0,96.08117958228006,855.5039742646317,141051.8370607156
Planner,4,6,12,86,120.0,15000.0,102.31280207927135,928.3015440679014,153329.37331022817
Planner,4,6,12,85,120.0,15000.0,94.42169460414549,997.7728102619068,164659.97666272562
Planner,4,6,12,84,120.0,15000.0,87.4535054712978,1062.8228581609462,175154.39731928136
Planner,4,6,12,83,120.0,15000.0,100.75736157621579,1137.8779840346667,187245.28070842725
Planner,4,6,12,82,120.0,15000.0,107.00113301266471,1215.6556083777252,200085.416669947
Planner,4,6,12,81,120.0,15000.0,93.2175603807245,1284.2100070317786,211271.52391563394
Planner,4,6,12,80,120.0,15000.0,105.58360425154589,1362.9966849869882,223941.55642581944
Planner,4,6,12,79,120.0,15000.0,96.69425539607676,1433.908173840077,235544.86707334864
Planner,4,6,12,78,120.0,15000.0,95.989151040414,1504.4143311693765,247063.5651981983
Planner,4,6,12,77,120.0,15000.0,101.49199405580048,1579.501716415788,259242.60448489437
Planner,4,6,12,76,120.0,15000.0,121.01144066796468,1668.709083337907,273763.9773650501
Planner,4,6,12,75,120.0,15000.0,102.23672998374921,1745.1077594422013,286032.3849631
Planner,4,6,12,74,120.0,15000.0,96.92193239542358,1816.8728568174386,297663.01685055083
Planner,4,6,12,73,120.0,15000.0,105.23254565483629,1896.0151482836097,310290.92232913116
Planner,4,6,12,72,120.0,15000.0,94.59787893557413,1967.7525688061153,321642.66780140006
Planner,4,6,12,71,120.0,15000.0,102.30633887833535,2044.3263894106299,333919.4284668003
Planner,4,6,12,70,120.0,15000.0,111.90270423702427,2128.6982195638157,347347.7529752432
Planner,4,6,12,69,120.0,15000.0,115.97215410195355,2215.7358778884313,361264.4114674776
Planner,4,6,12,68,120.0,15000.0,109.37005898136802,2298.073631100189,374388.8185452418
Planner,4,6,12,67,120.0,15000.0,101.56124268687138,2375.4514476887666,386576.16766766633
Planner,4,6,12,66,120.0,15000.0,104.49743483583921,2452.757497932687,399115.85984796705
Planner,4,6,12,65,120.0,15000.0,127.15179507247566,2548.3399588361517,414374.07525666413
Planner,4,6,12,64,120.0,15000.0,101.26752584632786,2626.352901519774,426526.17835822346
Planner,4,6,12,63,120.0,15000.0,109.35997333428108,2709.975183003771,439649.3751583372
Planner,4,6,12,62,120.0,15000.0,105.36176454290208,2789.4023857982916,452292.7869034854
Planner,4,6,12,61,120.0,15000.0,98.4991216365458,2862.1569948426472,464112.6814998709
Planner,4,6,12,60,120.0,15000.0,123.63129495496784,2955.822219827028,478948.43689446704
Planner,4,6,12,59,120.0,15000.0,138.00464202807035,3063.495602642551,495508.9939378355
Planner,4,6,12,58,120.0,15000.0,128.00393521023503,3161.99879185892,510869.4661630637
Planner,4,6,12,57,120.0,15000.0,131.4241115031047,3261.916486676389,526640.3595434363
Planner,4,6,12,56,120.0,15000.0,124.40930622461399,3355.0613965782077,541569.47629039
Planner,4,6,12,55,120.0,15000.0,131.71862369613137,3454.2048734944788,557375.7111339258
Planner,4,6,12,54,120.0,15000.0,137.9178733931235,3558.8281944179134,573925.8559411006
Planner,4,6,12,53,120.0,15000.0,147.95188510851855,3672.404688259426,591680.0821541229
Planner,4,6,12,52,120.0,15000.0,139.26821403259316,3780.669709812438,608392.2678380341
Planner,4,6,12,51,120.0,15000.0,143.78768127070975,3891.1449490205628,625646.7895905193
Planner,4,6,12,50,120.0,15000.0,145.60656235473525,4003.084165886866,643119.5770730875
Planner,4,6,12,49,120.0,15000.0,155.52578908216864,4124.073121783193,661782.6717629477
Planner,4,6,12,48,120.0,15000.0,149.83935709697607,4240.84064790768,679763.3946145849
Planner,4,6,12,47,120.0,15000.0,145.37756806447203,4353.952981651548,697208.7027823215
Planner,4,6,12,46,120.0,15000.0,138.43516515155213,4462.804112711303,713820.9226005077
Planner,4,6,12,45,120.0,15000.0,150.45422052623405,4579.820128638595,731875.4290636558
Planner,4,6,12,44,120.0,15000.0,154.97731181767523,4700.292891411031,750472.7064817768
Planner,4,6,12,43,120.0,15000.0,148.14937797198385,4817.152654803768,768250.6318384148
Planner,4,6,12,42,120.0,15000.0,151.1082464169907,4933.78600807185,786383.6214084537
Planner,4,6,12,41,120.0,15000.0,156.28778725125423,5053.463844777722,805138.1558786042
Planner,4,6,12,40,120.0,15000.0,166.01565542290592,5183.17801845743,825060.0345293529
Planner,4,6,12,39,120.0,15000.0,153.1383867525926,5306.035374240327,843436.640939664
Planner,4,6,12,38,120.0,15000.0,175.42258448679175,5444.027383054404,864487.351078079
Planner,4,6,12,37,120.0,15000.0,163.20758665849777,5573.947499475105,884072.2614770987
Planner,4,6,12,36,120.0,15000.0,171.99667936925178,5709.379459972253,904711.8630014089
Planner,4,6,12,35,120.0,15000.0,159.6225930288842,5837.066593881541,923866.574164875
Planner,4,6,12,34,120.0,15000.0,160.69691373809567,5965.253587947453,943150.2038134465
Planner,4,6,12,33,120.0,15000.0,163.41938752509665,6093.237466169138,962760.5303164581
Planner,4,6,12,32,120.0,15000.0,151.6689832229271,6210.089234444383,980960.8083032094
Planner,4,6,12,31,120.0,15000.0,159.8646888790556,6339.055633886958,1000144.570968696
Planner,4,6,12,30,120.0,15000.0,154.41102574511635,6463.739223268911,1018673.89405811
