policy,baseline,point_diff,ci_low,ci_high,covers_zero
DP planner,myopic,246966.40435873996,171173.13654967354,322968.8432258895,False
DP planner,joint SAC rl_best,186007.82551542576,155300.74999312885,216604.90184704482,False
DP planner,joint BC->SAC + cap,137871.7698435164,116863.74214458557,162003.03461116494,False
DP planner,joint SAC cu200,131521.3314158693,102664.572351538,161231.99504907845,False
