policy,n_soft,n_peak,score_aware,score_peak,score_soft,soft_rev,soft_gap_to_oracle,soft_frac_at_floor,soft_oversell,peak_rev,peak_remain,peak_load,peak_oversell,peak_score,overall_rev,overall_score,overall_oversell,undersell_gt1500_diag
myopic_greedy,13,17,1972305.33,1101619.76,870685.56,870685.56,0.0,0.0,0.0,1186220.11,423.0,0.9577,0.0,1101619.76,1049488.47,730304.77,0.0,0.4333
fixed_price_80,13,17,1729912.1,873143.92,856768.18,856768.18,0.0,1.0,0.0,1152438.06,-698.24,1.0698,1.0,873143.92,1024314.44,673174.45,0.5667,0.4333
bc_sac+safe_sl,13,17,2081399.96,1221614.84,859785.12,859785.12,0.0,0.3623,0.0,1280208.74,292.97,0.9707,0.0,1221614.84,1098025.17,863219.56,0.0,0.4333
pace_ppo,13,17,2009913.95,1153145.77,856768.18,856768.18,0.0,1.0,0.0,1237263.27,420.59,0.9579,0.0,1153145.77,1072382.06,831842.17,0.0,0.4333
