policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun
fixed prices,14,1700654.7557748961,2801649.77409184,5504.975091584718,0.0,0,9947.0,85.85210919380188,7023.0,109.69654619693756,6317.0,80.0,2476.0,80.0,1347.0,80.0,251.0,80.0
fixed prices,15,1034732.1327272202,2535359.299682975,7503.135834778774,0.0,0,6847.0,85.85210919380188,6657.0,109.69654619693756,6164.0,80.0,2286.0,80.0,1775.0,80.0,310.0,80.0
fixed prices,16,2820865.8337847204,3200096.5485161543,1030.290285177156,432.9316442400068,2,9217.0,85.85210919380188,6961.0,109.69654619693756,8298.0,80.0,2969.0,80.0,2365.0,80.0,533.0,80.0
fixed prices,17,2634921.8841341543,3167781.486134529,2664.298010001874,0.0,0,9927.0,85.85210919380188,7818.0,109.69654619693756,7984.0,80.0,2701.0,80.0,1894.0,80.0,350.0,80.0
fixed prices,18,1896052.5804073547,2847312.8835451603,4577.440347466612,89.43058411120728,1,7762.0,85.85210919380188,7814.0,109.69654619693756,6489.0,80.0,2610.0,80.0,1936.0,80.0,322.0,80.0
fixed prices,19,2347679.2768981205,3043346.6115665436,2672.42710329738,402.954785022368,2,9421.0,85.85210919380188,7270.0,109.69654619693756,6754.0,80.0,3019.0,80.0,1960.0,80.0,417.0,80.0
fixed prices,20,2618373.4121866277,3124050.9858077765,2135.8125758844226,196.28764611066072,2,9191.0,85.85210919380188,7137.0,109.69654619693756,7410.0,80.0,3213.0,80.0,2091.0,80.0,461.0,80.0
fixed prices,21,2831635.9704084597,3174654.6074444056,1380.7224894686024,167.18534785556403,2,10199.0,85.85210919380188,6067.0,109.69654619693756,10334.0,80.0,2317.0,80.0,2043.0,80.0,455.0,80.0
fixed prices,22,238511.46374958474,2187777.6600801945,9746.33098165305,0.0,0,6759.0,85.85210919380188,5196.0,109.69654619693756,6158.0,80.0,1683.0,80.0,1358.0,80.0,243.0,80.0
fixed prices,23,2144279.1777972374,3019269.064244628,3223.674122716673,575.6376547601394,2,9684.0,85.85210919380188,7951.0,109.69654619693756,6491.0,80.0,2928.0,80.0,1610.0,80.0,293.0,80.0
fixed prices,24,3215533.625838062,3322919.9667447805,536.9317045335938,0.0,0,10045.0,85.85210919380188,7693.0,109.69654619693756,9697.0,80.0,2587.0,80.0,2085.0,80.0,389.0,80.0
fixed prices,25,2103998.2110612737,2945920.1267832518,4209.6095786098895,0.0,0,9806.0,85.85210919380188,7631.0,109.69654619693756,6375.0,80.0,2725.0,80.0,1553.0,80.0,302.0,80.0
fixed prices,26,886038.6987293165,2443018.084897995,7784.8969308433925,0.0,0,4382.0,85.85210919380188,6676.0,109.69654619693756,7555.0,80.0,1637.0,80.0,2428.0,80.0,332.0,80.0
fixed prices,27,2730467.4766149186,3200554.846894741,1863.4543815157804,243.49123494166633,2,9555.0,85.85210919380188,7718.0,109.69654619693756,8139.0,80.0,3137.0,80.0,1798.0,80.0,387.0,80.0
fixed prices,28,1248188.6695437199,2609359.796823859,6805.855636400696,0.0,0,8113.0,85.85210919380188,6157.0,109.69654619693756,6294.0,80.0,2416.0,80.0,1640.0,80.0,354.0,80.0
fixed prices,29,2373131.3062597634,2988661.406751871,3077.6505024605394,0.0,0,9063.0,85.85210919380188,6908.0,109.69654619693756,7478.0,80.0,2715.0,80.0,1978.0,80.0,432.0,80.0
planner,0,3012090.8254378806,3290373.914590329,1391.4154457622426,0.0,0,9711.0,85.261395040237,7274.0,115.81855792344305,8404.0,80.0,2567.0,84.64673101275079,2440.0,80.0,511.0,80.0
planner,1,2783230.3628084315,3266836.288512841,2236.084180591447,90.97272396530025,2,9803.0,92.70210632157729,7564.0,115.74330880513612,7279.0,80.0,2662.0,85.59638475589202,2102.0,80.0,451.0,80.0
planner,2,2177974.2544199023,2937844.42788139,3761.4138405318063,18.96851338781562,2,9678.0,85.82925996157866,8021.0,107.16729210487864,6015.0,80.0,2758.0,80.0,1579.0,80.0,302.0,80.0
planner,3,3447763.711288676,3470506.0244304687,113.71156570896346,0.0,0,10512.0,81.16335087601816,8446.0,117.02301603191707,10154.0,82.1695005419406,1836.0,88.12531002612545,2271.0,82.50885946662191,401.0,80.0
planner,4,2720263.9930957872,3164124.249920994,2219.3012841260334,0.0,0,9293.0,80.09872974446859,7066.0,115.59409954126195,7837.0,80.0,2641.0,82.69102024901143,2626.0,80.1913324622643,492.0,80.0
planner,5,1946120.1923214174,2757626.084883539,4057.5294628106085,0.0,0,7780.0,80.0,8100.0,97.8402573930295,7534.0,80.0,2138.0,80.0,1959.0,80.0,352.0,80.0
planner,6,3169043.8211014397,3353446.487108879,922.0133300371963,0.0,0,10206.0,98.99288937018744,7800.0,98.91683963999057,9789.0,80.0,2397.0,83.66577159049216,1785.0,80.0,424.0,80.0
